Alignment ID,Average Mz
5279,329.2691
2675,280.2302
1881,262.2025
1880,262.2021
1283,246.0766
403,218.1
130,205.1957
26465,1985.2024
25890,1523.9446
25818,1495.9146
25691,1379.9045
25643,1357.9208
25607,1349.5608
25431,1309.5886
25392,1305.6184
25347,1297.8627
25245,1283.636
25244,1283.6327
25223,1279.5959
24920,1229.6216
24708,1177.8545
24545,1121.7966
24260,1022.6653
24203,1005.784
23975,956.4522
23620,917.5275
22876,838.5524
22113,782.5721
22109,782.5719
22110,782.5719
22106,782.5718
22107,782.5718
22108,782.5718
21523,755.3546
21519,754.6599
21277,741.3395
21044,730.5343
20618,709.3813
20614,709.3795
20606,708.5967
20575,707.3994
20326,693.3866
20320,693.3842
20198,687.3983
20194,687.3967
19973,677.3889
19972,677.3887
19719,669.3875
19664,667.4083
19663,667.4073
19589,665.3518
19517,663.373
19514,663.3712
19451,661.3951
19323,657.3868
19313,657.2947
19181,653.3916
19176,653.3895
19167,653.3246
19129,652.3179
19104,651.3765
19103,651.3762
19034,649.3961
19031,649.3586
19028,649.3561
18978,647.797
18908,646.3032
18907,646.303
18831,644.2749
18828,643.8259
18675,639.376
18674,639.3759
18671,639.374
18618,637.3969
18616,637.3965
18547,635.3812
18492,633.4014
18486,633.3662
18418,631.3461
18360,629.3307
18359,629.3126
18358,629.3125
18242,625.3597
18181,623.3807
18180,623.3806
18100,621.3139
18060,619.3884
18057,619.3865
18058,619.3865
18007,617.3701
18004,617.3694
17963,616.3
17932,615.3141
17888,614.3224
17788,609.3673
17787,609.3667
17728,607.3503
17725,607.349
17684,605.3701
17680,605.3691
17617,603.3552
17557,601.3765
17556,601.3763
17492,599.3619
17491,599.3604
17291,591.3555
17286,591.3547
17287,591.3547
17227,589.3386
17106,585.3795
17101,585.3441
17031,583.3646
16983,581.3483
16868,577.2999
16740,573.345
16659,571.3287
16456,565.354
16399,563.3377
16029,553.3228
14993,525.4385
14992,525.4383
13266,482.1494
12971,475.2545
11774,452.148
11422,445.165
11329,443.2172
11128,439.3319
9144,403.2335
9138,403.2135
8739,395.3058
8738,395.3019
8310,387.2065
8201,385.2028
8099,383.2478
7812,377.2944
7809,377.2906
7697,375.2856
7616,373.3037
7594,373.202
7044,363.104
6964,361.2236
6836,358.2968
6785,357.276
6685,355.2584
6307,349.1812
6130,345.3155
6120,345.2079
6102,345.1434
6054,344.2025
6000,343.2112
5900,341.2824
5437,333.0284
5271,329.231
5221,329.1032
4637,318.1134
4538,316.1718
4032,307.2483
3631,299.1844
3280,293.1476
3021,287.1974
2718,281.1479
2491,277.1125
2177,269.1757
1330,247.1341
1065,239.1005
586,223.1699
401,218.0824
395,217.1599
342,215.1447
201,209.154
0,200.0921
25619,1353.5707
25516,1327.6195
25482,1321.6326
25391,1305.616
25382,1303.6284
25381,1303.6241
25363,1300.6617
25311,1291.5958
25295,1289.6421
25293,1289.6394
25288,1289.0928
